4.223518138000001e-05 2.061003761457853e+14 0.000000000000000e+00 0.000000000000000e+00 1.126234401899372e-06 
4.223523461000000e-05 2.060824054602066e+14 0.000000000000000e+00 0.000000000000000e+00 1.617322893830706e-06 
4.223528785000001e-05 2.060643425916995e+14 0.000000000000000e+00 0.000000000000000e+00 1.323086365866788e-06 
4.223534109000000e-05 2.060461903307491e+14 0.000000000000000e+00 0.000000000000000e+00 1.655872926447528e-06 
4.223539433000000e-05 2.060279480953611e+14 0.000000000000000e+00 0.000000000000000e+00 2.291382119927445e-06 
4.223544756999999e-05 2.060096152987971e+14 0.000000000000000e+00 0.000000000000000e+00 8.487994257045349e-08 
4.223550080000000e-05 2.059911948186427e+14 0.000000000000000e+00 0.000000000000000e+00 4.852509825171700e-07 
4.223555404000000e-05 2.059726791375055e+14 0.000000000000000e+00 0.000000000000000e+00 1.197635333360131e-06 
4.223560728000001e-05 2.059540711060462e+14 0.000000000000000e+00 0.000000000000000e+00 -8.272591779569778e-07 
4.223566052000000e-05 2.059353701180086e+14 0.000000000000000e+00 0.000000000000000e+00 -1.106153912749792e-07 
4.223571375000001e-05 2.059165791011129e+14 0.000000000000000e+00 0.000000000000000e+00 -4.578630337811286e-06 
4.223576699000000e-05 2.058976903788376e+14 0.000000000000000e+00 0.000000000000000e+00 1.573943583280105e-06 
4.223582023000000e-05 2.058787068511217e+14 0.000000000000000e+00 0.000000000000000e+00 1.429911834345536e-06 
4.223587346999999e-05 2.058596278914024e+14 0.000000000000000e+00 0.000000000000000e+00 8.719150009848425e-07 
4.223592670000000e-05 2.058404564785766e+14 0.000000000000000e+00 0.000000000000000e+00 2.283446296424652e-06 
4.223597994000000e-05 2.058211847724974e+14 0.000000000000000e+00 0.000000000000000e+00 2.526642503474252e-07 
4.223603318000001e-05 2.058018157233872e+14 0.000000000000000e+00 0.000000000000000e+00 1.878276515999041e-06 
4.223608642000000e-05 2.057823486835545e+14 0.000000000000000e+00 0.000000000000000e+00 -1.871788587784359e-06 
