4225.724, 3433, 
4225.726, 3542, 
4225.728, 3667, 
4225.73, 3808, 
4225.732, 3967, 
4225.734, 4144, 
4225.736, 4336, 
4225.738, 4532, 
4225.74, 4728, 
4225.742, 4921, 
4225.744, 5115, 
4225.746, 5298, 
4225.748, 5477, 
4225.75, 5657, 
4225.752, 5824, 
4225.754, 5973, 
4225.756, 6110, 
4225.758, 6237, 
4225.76, 6359, 
4225.762, 6470, 
4225.764, 6570, 
4225.766, 6665, 
4225.768, 6749, 
4225.77, 6825, 
4225.772, 6891, 
4225.774, 6947, 
4225.776, 6997, 
4225.778, 7045, 
4225.78, 7090, 
4225.782, 7132, 
4225.784, 7169, 
4225.786, 7204, 
4225.788, 7230, 
4225.79, 7256, 
4225.792, 7281, 
4225.794, 7303, 
4225.796, 7324, 
4225.798, 7341, 
4225.8, 7357, 
4225.802, 7374, 
4225.804, 7388, 
4225.806, 7400, 
4225.808, 7411, 
4225.81, 7423, 
4225.812, 7436, 
4225.814, 7445, 
4225.816, 7454, 
4225.818, 7461, 
4225.82, 7467, 
4225.822, 7472, 
4225.824, 7477, 
4225.826, 7480, 
4225.828, 7483, 
4225.83, 7484, 
4225.832, 7485, 
4225.834, 7486, 
4225.836, 7485, 
4225.838, 7485, 
4225.84, 7483, 
4225.842, 7480, 
4225.844, 7476, 
4225.846, 7472, 
4225.848, 7466, 
4225.85, 7459, 
4225.852, 7450, 
4225.854, 7440, 
4225.856, 7428, 
4225.858, 7412, 
4225.86, 7395, 
4225.862, 7377, 
4225.864, 7358, 
4225.866, 7336, 
4225.868, 7312, 
4225.87, 7283, 
4225.872, 7252, 
4225.874, 7217, 
4225.876, 7175, 
4225.878, 7128, 
4225.88, 7074, 
4225.882, 7011, 
4225.884, 6943, 
4225.886, 6867, 
4225.888, 6780, 
4225.89, 6684, 
4225.892, 6582, 
4225.894, 6469, 
4225.896, 6348, 
4225.898, 6217, 
4225.9, 6067, 
4225.902, 5906, 
4225.904, 5744, 
4225.906, 5567, 
4225.908, 5374, 
4225.91, 5182, 
4225.912, 4991, 
4225.914, 4790, 
4225.916, 4584, 
4225.918, 4375, 
4225.92, 4164, 
4225.922, 3956, 
4225.924, 3755, 
4225.926, 3544, 
4225.928, 3332, 
4225.93, 3131, 
4225.932, 2940, 
4225.934, 2756, 
4225.936, 2580, 
4225.938, 2415, 
4225.94, 2260, 
4225.942, 2121, 
4225.944, 1991, 
4225.946, 1874, 
4225.948, 1771, 
4225.95, 1683, 
4225.952, 1607, 
4225.954, 1547, 
4225.956, 1504, 
4225.958, 1471, 
4225.96, 1451, 
4225.962, 1444, 
4225.964, 1452, 
4225.966, 1475, 
4225.968, 1513, 
4225.97, 1564, 
4225.972, 1646, 
4225.974, 1750, 
4225.976, 1874, 
4225.978, 2016, 
4225.98, 2188, 
4225.982, 2379, 
4225.984, 2590, 
4225.986, 2814, 
4225.988, 3042, 
4225.99, 3274, 
4225.992, 3513, 
4225.994, 3751, 
4225.996, 3982, 
4225.998, 4205, 
4226.0, 4422, 
4226.002, 4628, 
4226.004, 4823, 
4226.006, 4999, 
4226.008, 5152, 
4226.01, 5294, 
4226.012, 5425, 
4226.014, 5540, 
4226.016, 5643, 
4226.018, 5735, 
4226.02, 5817, 
4226.022, 5888, 
4226.024, 5950, 
4226.026, 6009, 
4226.028, 6056, 
4226.03, 6102, 
4226.032, 6138, 
4226.034, 6170, 
4226.036, 6197, 
4226.038, 6221, 
4226.04, 6241, 
4226.042, 6258, 
4226.044, 6271, 
4226.046, 6281, 
4226.048, 6288, 
4226.05, 6294, 
4226.052, 6297, 
4226.054, 6297, 
4226.056, 6297, 
4226.058, 6292, 
4226.06, 6289, 
4226.062, 6286, 
4226.064, 6281, 
4226.066, 6277, 
4226.068, 6271, 
4226.07, 6265, 
4226.072, 6258, 
4226.074, 6251, 
4226.076, 6243, 
4226.078, 6236, 
4226.08, 6229, 
4226.082, 6221, 
4226.084, 6213, 
4226.086, 6203, 
4226.088, 6196, 
4226.09, 6189, 
4226.092, 6181, 
4226.094, 6173, 
4226.096, 6165, 
4226.098, 6157, 
4226.1, 6148, 
4226.102, 6139, 
4226.104, 6130, 
4226.106, 6121, 
4226.108, 6111, 
4226.11, 6100, 
4226.112, 6090, 
4226.114, 6079, 
4226.116, 6068, 
4226.118, 6056, 
4226.12, 6044, 
4226.122, 6030, 
4226.124, 6017, 
4226.126, 6003, 
4226.128, 5989, 
4226.13, 5975, 
4226.132, 5960, 
4226.134, 5945, 
4226.136, 5930, 
4226.138, 5914, 
4226.14, 5898, 
4226.142, 5883, 
4226.144, 5868, 
4226.146, 5851, 
4226.148, 5834, 
4226.15, 5817, 
4226.152, 5800, 
4226.154, 5782, 
4226.156, 5765, 
4226.158, 5746, 
4226.16, 5728, 
4226.162, 5710, 
4226.164, 5691, 
4226.166, 5673, 
4226.168, 5653, 
4226.17, 5635, 
4226.172, 5616, 
4226.174, 5597, 
4226.176, 5578, 
4226.178, 5560, 
4226.18, 5540, 
4226.182, 5521, 
4226.184, 5502, 
4226.186, 5482, 
4226.188, 5462, 
4226.19, 5443, 
4226.192, 5424, 
4226.194, 5404, 
4226.196, 5384, 
4226.198, 5365, 
4226.2, 5346, 
4226.202, 5327, 
4226.204, 5307, 
4226.206, 5288, 
4226.208, 5269, 
4226.21, 5249, 
4226.212, 5229, 
4226.214, 5209, 
4226.216, 5188, 
4226.218, 5167, 
4226.22, 5147, 
4226.222, 5126, 
4226.224, 5103, 
4226.226, 5082, 
4226.228, 5063, 
4226.23, 5042, 
4226.232, 5022, 
4226.234, 5001, 
4226.236, 4979, 
4226.238, 4959, 
4226.24, 4938, 
4226.242, 4917, 
4226.244, 4896, 
4226.246, 4874, 
4226.248, 4851, 
4226.25, 4829, 
4226.252, 4807, 
4226.254, 4785, 
4226.256, 4763, 
4226.258, 4740, 
4226.26, 4718, 
4226.262, 4696, 
4226.264, 4674, 
4226.266, 4651, 
4226.268, 4628, 
4226.27, 4604, 
4226.272, 4580, 
4226.274, 4555, 
4226.276, 4530, 
4226.278, 4503, 
4226.28, 4475, 
4226.282, 4447, 
4226.284, 4419, 
4226.286, 4390, 
4226.288, 4360, 
4226.29, 4329, 
4226.292, 4297, 
4226.294, 4265, 
4226.296, 4230, 
4226.298, 4193, 
4226.3, 4155, 
4226.302, 4114, 
4226.304, 4071, 
4226.306, 4026, 
4226.308, 3980, 
4226.31, 3931, 
4226.312, 3882, 
4226.314, 3829, 
4226.316, 3775, 
4226.318, 3718, 
4226.32, 3659, 
4226.322, 3597, 
4226.324, 3537, 
4226.326, 3477, 
4226.328, 3418, 
4226.33, 3358, 
4226.332, 3300, 
4226.334, 3247, 
4226.336, 3198, 
4226.338, 3152, 
4226.34, 3110, 
4226.342, 3074, 
4226.344, 3041, 
4226.346, 3015, 
4226.348, 2989, 
4226.35, 2967, 
4226.352, 2951, 
4226.354, 2934, 
4226.356, 2920, 
4226.358, 2905, 
4226.36, 2892, 
4226.362, 2878, 
4226.364, 2864, 
4226.366, 2849, 
4226.368, 2835, 
4226.37, 2819, 
4226.372, 2803, 
4226.374, 2780, 
4226.376, 2754, 
4226.378, 2727, 
4226.38, 2696, 
4226.382, 2657, 
4226.384, 2613, 
4226.386, 2566, 
4226.388, 2513, 
4226.39, 2456, 
4226.392, 2392, 
4226.394, 2327, 
4226.396, 2255, 
4226.398, 2182, 
4226.4, 2107, 
4226.402, 2029, 
4226.404, 1951, 
4226.406, 1875, 
4226.408, 1801, 
4226.41, 1726, 
4226.412, 1658, 
4226.414, 1595, 
4226.416, 1536, 
4226.418, 1486, 
4226.42, 1440, 
4226.422, 1398, 
4226.424, 1363, 
4226.426, 1333, 
4226.428, 1309, 
4226.43, 1293, 
4226.432, 1283, 
4226.434, 1280, 
4226.436, 1284, 
4226.438, 1294, 
4226.44, 1310, 
4226.442, 1331, 
4226.444, 1358, 
4226.446, 1390, 
4226.448, 1426, 
4226.45, 1466, 
4226.452, 1509, 
4226.454, 1555, 
4226.456, 1601, 
4226.458, 1648, 
4226.46, 1693, 
4226.462, 1737, 
4226.464, 1779, 
4226.466, 1820, 
4226.468, 1857, 
4226.47, 1891, 
4226.472, 1922, 
4226.474, 1948, 
4226.476, 1971, 
4226.478, 1989, 
4226.48, 2003, 
4226.482, 2015, 
4226.484, 2025, 
4226.486, 2031, 
4226.488, 2036, 
4226.49, 2038, 
4226.492, 2039, 
4226.494, 2036, 
4226.496, 2029, 
4226.498, 2025, 
4226.5, 2020, 
4226.502, 2014, 
4226.504, 2007, 
4226.506, 2000, 
4226.508, 1993, 
4226.51, 1985, 
4226.512, 1976, 
4226.514, 1968, 
4226.516, 1959, 
4226.518, 1950, 
4226.52, 1941, 
4226.522, 1932, 
4226.524, 1923, 
4226.526, 1913, 
4226.528, 1903, 
4226.53, 1894, 
4226.532, 1884, 
4226.534, 1876, 
4226.536, 1866, 
4226.538, 1857, 
4226.54, 1848, 
4226.542, 1838, 
