70 FALC93_70.atmos
-8.0000000e+00 2.2194300e+08 1.0277000e+05 1.7852802e-01 9.3035626e-02 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.1900000e+06 0.0000000e+00 5.0000000e-01 5.0000000e-01
-7.8695652e+00 2.2178800e+08 9.8790000e+04 1.7832259e-01 9.2840866e-02 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.1800000e+06 0.0000000e+00 5.0000000e-01 5.0000000e-01
-7.7391304e+00 2.2164300e+08 9.4800000e+04 1.7797651e-01 9.2492568e-02 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.1700000e+06 0.0000000e+00 5.0000000e-01 5.0000000e-01
-7.6086957e+00 2.2150800e+08 9.0816000e+04 1.7785498e-01 9.2239995e-02 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.1600000e+06 0.0000000e+00 5.0000000e-01 5.0000000e-01
-7.4782609e+00 2.2129200e+08 8.3891000e+04 1.7728687e-01 9.1573738e-02 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.1500000e+06 0.0000000e+00 5.0000000e-01 5.0000000e-01
-7.3478261e+00 2.2107500e+08 7.5934000e+04 1.7664535e-01 9.0747205e-02 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.1300000e+06 0.0000000e+00 5.0000000e-01 5.0000000e-01
-7.2173913e+00 2.2096500e+08 7.1336000e+04 1.7630110e-01 9.0272855e-02 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.1200000e+06 0.0000000e+00 5.0000000e-01 5.0000000e-01
-7.0869565e+00 2.2085300e+08 6.6145000e+04 1.7568490e-01 8.9637058e-02 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.1000000e+06 0.0000000e+00 5.0000000e-01 5.0000000e-01
-6.9565217e+00 2.2074000e+08 6.0170000e+04 1.7500713e-01 8.8847022e-02 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.0800000e+06 0.0000000e+00 5.0000000e-01 5.0000000e-01
-6.8260870e+00 2.2062700e+08 5.3284000e+04 1.7370225e-01 8.7502985e-02 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.0600000e+06 0.0000000e+00 5.0000000e-01 5.0000000e-01
-6.6956522e+00 2.2057000e+08 4.9385000e+04 1.7339558e-01 8.7233664e-02 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.0500000e+06 0.0000000e+00 5.0000000e-01 5.0000000e-01
-6.5652174e+00 2.2051800e+08 4.5416000e+04 1.7230170e-01 8.6490230e-02 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.0300000e+06 0.0000000e+00 5.0000000e-01 5.0000000e-01
-6.4347826e+00 2.2046600e+08 4.1178000e+04 1.7164298e-01 8.5806716e-02 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.0100000e+06 0.0000000e+00 5.0000000e-01 5.0000000e-01
-6.3043478e+00 2.2041300e+08 3.6594000e+04 1.6970885e-01 8.4334532e-02 0.0000000e+00 0.0000000e+00 0.0000000e+00 9.9300000e+05 0.0000000e+00 5.0000000e-01 5.0000000e-01
