Wavelength (Angstroms), Normalized intensity, Element
4223.576, 3909, 
4223.578, 3956, 
4223.58, 4020, 
4223.582, 4094, 
4223.584, 4181, 
4223.586, 4279, 
4223.588, 4390, 
4223.59, 4514, 
4223.592, 4646, 
4223.594, 4785, 
4223.596, 4929, 
4223.598, 5088, 
4223.6, 5251, 
4223.602, 5431, 
4223.604, 5616, 
4223.606, 5797, 
4223.608, 5976, 
4223.61, 6161, 
4223.612, 6353, 
4223.614, 6543, 
4223.616, 6720, 
4223.618, 6895, 
4223.62, 7074, 
4223.622, 7243, 
4223.624, 7413, 
4223.626, 7572, 
4223.628, 7723, 
4223.63, 7866, 
4223.632, 8002, 
4223.634, 8133, 
4223.636, 8255, 
4223.638, 8369, 
4223.64, 8476, 
4223.642, 8576, 
4223.644, 8671, 
4223.646, 8756, 
4223.648, 8831, 
4223.65, 8900, 
4223.652, 8960, 
4223.654, 9012, 
4223.656, 9058, 
4223.658, 9094, 
4223.66, 9123, 
4223.662, 9146, 
4223.664, 9161, 
4223.666, 9169, 
4223.668, 9170, 
4223.67, 9163, 
4223.672, 9148, 
4223.674, 9124, 
4223.676, 9093, 
4223.678, 9051, 
4223.68, 8997, 
4223.682, 8925, 
4223.684, 8839, 
4223.686, 8741, 
4223.688, 8632, 
4223.69, 8512, 
4223.692, 8380, 
4223.694, 8242, 
4223.696, 8090, 
4223.698, 7925, 
4223.7, 7754, 
4223.702, 7568, 
4223.704, 7385, 
4223.706, 7201, 
4223.708, 7023, 
4223.71, 6845, 
4223.712, 6666, 
4223.714, 6499, 
4223.716, 6358, 
4223.718, 6230, 
4223.72, 6115, 
4223.722, 6017, 
4223.724, 5939, 
4223.726, 5885, 
4223.728, 5856, 
4223.73, 5854, 
4223.732, 5877, 
4223.734, 5923, 
4223.736, 5995, 
4223.738, 6085, 
4223.74, 6198, 
4223.742, 6327, 
4223.744, 6472, 
4223.746, 6626, 
4223.748, 6795, 
4223.75, 6964, 
4223.752, 7139, 
4223.754, 7308, 
4223.756, 7468, 
4223.758, 7628, 
4223.76, 7788, 
4223.762, 7932, 
4223.764, 8062, 
4223.766, 8186, 
4223.768, 8299, 
4223.77, 8403, 
4223.772, 8499, 
4223.774, 8586, 
4223.776, 8667, 
4223.778, 8742, 
4223.78, 8808, 
4223.782, 8866, 
4223.784, 8921, 
4223.786, 8974, 
4223.788, 9025, 
4223.79, 9073, 
4223.792, 9118, 
4223.794, 9159, 
4223.796, 9199, 
4223.798, 9236, 
